fact_id,text,times_posted,last_posted
FT-0032,"When the Spanish arrived in 1519, Tenochtitlan was larger than almost any city in Europe — built on a lake, connected by causeways.",2,2026-08-26T14:57:00+00:00
FT-0033,The Soviet Union covered one-sixth of Earth's land surface.,1,2026-07-05T00:10:39+00:00
FT-0034,Brazil borders every country in South America except Chile and Ecuador.,2,2026-08-25T23:33:24+00:00
FT-0035,Africa has 54 countries — more than a quarter of all UN member states — and a median age of just 19.,2,2026-08-25T20:39:24+00:00
FT-0036,More than a third of humanity lives in just two countries: India and China.,1,2026-08-19T06:59:55+00:00
FT-0037,Kazakhstan is the world's largest landlocked country — bigger than all of Western Europe.,1,2026-08-16T06:54:41+00:00
FT-0038,"Rome's road network reached ~80,000 km of paved highways — enough to circle the Earth twice.",1,2026-07-18T10:35:18+00:00
FT-0039,"When the Great Pyramid of Giza was built, woolly mammoths still lived on Wrangel Island. They survived until ~1650 BC.",2,2026-08-26T05:44:15+00:00
FT-0040,Oxford University is older than the Aztec Empire. Teaching began at Oxford around 1096; Tenochtitlan was founded in 1325.,1,2026-07-11T10:23:04+00:00
FT-0041,World population reached 1 billion around 1804. It took 123 years to add the second billion — and just 12 years to add the eighth.,1,2026-08-13T02:39:59+00:00
FT-0042,Sweden has not fought a war since 1814 — over two centuries of unbroken peace.,2,2026-08-24T23:30:25+00:00
FT-0043,"There are over 7,000 languages on Earth — but half of humanity speaks just 23 of them.",1,2026-07-08T12:49:06+00:00
FT-0044,You can ski on the equator: the Cayambe volcano in Ecuador carries glaciers right on the line.,1,2026-08-09T13:10:31+00:00
FT-0045,The Netherlands is the world's #2 agricultural exporter by value — from a country you can drive across in 3 hours.,1,2026-07-09T16:08:17+00:00
FT-0046,Historians estimate Mansa Musa of Mali may have been the richest person in history — his gold spending on one pilgrimage disrupted Cairo's economy for years (1324).,1,2026-07-22T14:18:28+00:00
FT-0047,"The Suez Canal cuts ~7,000 km off the Europe–Asia sea route. Roughly 12% of global trade passes through it.",1,2026-08-01T00:09:17+00:00
FT-0048,"The Panama Canal saves ships a ~13,000 km detour around Cape Horn.",1,2026-08-13T15:08:39+00:00
FT-0049,Greenland is the world's largest island — 80% of it lies under an ice sheet up to 3 km thick.,1,2026-07-09T18:57:19+00:00
FT-0050,The Black Death killed an estimated 30–60% of Europe's population in just 4 years (1347–1351). Survivors' wages rose so fast that governments passed laws to cap them.,1,2026-07-17T10:08:15+00:00
FT-0051,"The Inca Empire ran ~40,000 km of roads through the Andes — without wheels, iron tools, or a writing system.",1,2026-08-09T07:10:11+00:00
FT-0052,"The 1815 eruption of Mount Tambora caused the 'Year Without a Summer' — snow fell on New England in June 1816, and harvests failed across Europe.",1,2026-08-21T23:33:38+00:00
FT-0053,Antarctica is the largest desert on Earth — far bigger than the Sahara.,1,2026-07-31T20:34:32+00:00
FT-0054,"In 1914, one US dollar bought 4.2 German marks. By November 1923, it bought 4.2 trillion.",1,2026-07-20T04:46:14+00:00
FT-0055,The Great Emu War of 1932: Australia deployed soldiers with machine guns against emus. The emus won.,1,2026-07-07T08:36:13+00:00
FT-0056,Portugal and England have the world's oldest active alliance — signed in 1373 and still in force.,1,2026-08-15T23:29:29+00:00
FT-0057,Ethiopia follows a calendar roughly 7 years behind the rest of the world — and clocks that start counting from dawn.,1,2026-08-22T23:30:16+00:00
FT-0058,About 71% of Earth is ocean — but humans have mapped the surface of Mars in more detail than the ocean floor.,2,2026-08-27T20:20:13+00:00
FT-0059,"Point Nemo, the spot in the Pacific farthest from any land, is so remote that the nearest humans are often the astronauts passing overhead on the ISS.",1,2026-08-15T07:38:28+00:00
FT-0060,"Australia is wider than the Moon — about 4,000 km across, versus the Moon's roughly 3,475 km diameter.",1,2026-07-15T14:04:05+00:00
FT-0061,"Chile is about 4,300 km long but on average only ~180 km wide. Flipped on its side, it would stretch from Lisbon past Moscow.",1,2026-07-29T12:11:43+00:00
FT-0062,The Caspian Sea is the world's largest lake — bigger than Germany.,1,2026-07-15T06:24:35+00:00
FT-0063,"Lake Baikal in Siberia holds roughly 20% of the world's unfrozen fresh water, and at ~1,642 m it's the deepest lake on Earth.",1,2026-07-16T18:15:29+00:00
FT-0064,The Amazon River pushes about one-fifth of all the river water on Earth into the ocean — more than the next several biggest rivers combined.,1,2026-08-23T09:37:14+00:00
FT-0065,The Mariana Trench is deeper than Mount Everest is tall — drop Everest in and its peak would still sit about 2 km underwater.,1,2026-08-08T11:37:22+00:00
FT-0066,Iceland has essentially no mosquitoes — one of the very few inhabited places on Earth without them.,2,2026-08-23T15:32:09+00:00
FT-0067,"Counting its fjords and islands, Norway's coastline runs roughly 100,000 km — enough to circle the Earth about two and a half times.",1,2026-07-26T10:08:41+00:00
FT-0068,"Africa is the only continent that sits in all four hemispheres: north, south, east and west.",1,2026-07-17T18:14:14+00:00
FT-0069,"The equator passes through 13 countries — and in Quito, Ecuador, you can stand with one foot in each hemisphere at ~2,850 m altitude.",1,2026-08-20T14:48:50+00:00
FT-0070,Alaska is both the westernmost AND easternmost US state: the Aleutian Islands cross the 180° meridian.,2,2026-08-24T13:08:00+00:00
FT-0071,"The closest US state to Africa isn't Florida — it's Maine, whose eastern tip sits nearer to Morocco than Miami does.",2,2026-08-23T22:32:58+00:00
FT-0072,"Reno, Nevada is farther west than Los Angeles, California. Check a map — the coastline bends hard.",1,2026-07-31T08:06:49+00:00
FT-0073,"At the Strait of Gibraltar, Africa and Europe are only about 14 km apart — on a clear day you can see one continent from the other.",1,2026-08-19T04:47:09+00:00
FT-0074,"Russia and the US are less than 4 km apart. Between the Diomede Islands in the Bering Strait, the date line makes them ~21 hours apart — locals call them Tomorrow Island and Yesterday Isle.",1,2026-07-09T04:08:11+00:00
FT-0075,"Finland has an estimated 188,000 lakes — roughly one for every 30 Finns.",1,2026-08-22T11:30:25+00:00
FT-0076,The Sargasso Sea is the only sea on Earth with no coastline — it's bounded entirely by ocean currents.,1,2026-08-15T08:40:11+00:00
FT-0077,Landlocked Bolivia still maintains a navy of several thousand personnel — patrolling Lake Titicaca and waiting to reclaim the coastline it lost to Chile in 1884.,1,2026-07-23T10:33:00+00:00
FT-0078,"Everest is the highest point above sea level, but the summit of Ecuador's Chimborazo is the farthest point from the Earth's center — the planet bulges at the equator.",1,2026-07-21T10:32:13+00:00
FT-0079,Angel Falls in Venezuela drops 979 m — roughly 15 times the height of Niagara.,1,2026-08-08T14:43:56+00:00
FT-0080,"Every point in Lesotho lies above 1,400 m — the highest 'low point' of any country on Earth.",1,2026-07-14T22:08:50+00:00
FT-0081,The highest natural point of the Maldives is about 2.4 m above sea level — the lowest 'high point' of any country.,1,2026-07-17T20:12:58+00:00
FT-0082,"Bir Tawil, a patch of desert between Egypt and Sudan, is claimed by neither country — one of the only unclaimed pieces of land on Earth.",1,2026-07-23T04:25:47+00:00
FT-0083,"The Belgian-Dutch border town of Baarle is a puzzle of 30+ enclaves — the frontier runs through houses and cafés, and your tax residence could depend on where your front door is.",1,2026-07-24T06:36:00+00:00
FT-0084,The Pacific Ocean is larger than every piece of land on Earth combined.,2,2026-08-25T11:37:02+00:00
FT-0085,"Sailors' trivia: the longest straight-line ocean voyage on Earth runs roughly 32,000 km from Pakistan to Kamchatka — without touching land.",1,2026-08-15T12:54:40+00:00
FT-0086,The Atlantic Ocean widens by roughly 2-3 cm every year — about the speed your fingernails grow. Columbus's voyage is over a metre longer today.,1,2026-08-17T04:53:19+00:00
FT-0087,"Measured from its underwater base, Hawaii's Mauna Kea is taller than Everest — over 10,000 m from seabed to summit.",1,2026-08-20T18:54:46+00:00
FT-0088,Antarctica holds an estimated 60-70% of all the fresh water on Earth — locked in ice up to 4.8 km thick.,1,2026-07-17T16:22:52+00:00
FT-0089,France spans 12 time zones — more than any other country — thanks to territories from French Polynesia to the Caribbean.,1,2026-08-10T17:59:48+00:00
FT-0090,"China, nearly as wide as the continental US, uses a single time zone. In the far west, the sun can set close to midnight Beijing time.",1,2026-08-16T12:56:17+00:00
FT-0091,"Spain has been in the 'wrong' time zone since 1940, when Franco moved clocks to Berlin time. Geographically, Madrid should share a zone with London.",1,2026-07-24T20:37:27+00:00
FT-0092,Nepal's clocks are set to UTC+5:45 — one of only a handful of 45-minute time zones on Earth.,1,2026-08-09T21:42:51+00:00
FT-0093,An estimated 27 million tonnes of Saharan dust blows across the Atlantic each year — and fertilizes the Amazon rainforest with phosphorus.,1,2026-07-29T19:38:40+00:00
FT-0094,"The Great Barrier Reef is the largest structure ever built by living creatures — about 2,300 km long and visible from orbit.",2,2026-08-26T13:10:43+00:00
FT-0095,"Lake Titicaca, at ~3,800 m, is the highest lake in the world with large-scale commercial navigation.",1,2026-07-29T06:41:24+00:00
FT-0096,"The Kaliningrad region — home to a million Russians — has no land connection to Russia. It's the old East Prussia, taken in 1945.",1,2026-08-07T03:59:50+00:00
FT-0097,"Mount Thor on Canada's Baffin Island has Earth's greatest vertical drop: 1,250 m of pure cliff.",1,2026-08-09T10:46:59+00:00
FT-0098,About 40% of the world's population lives within 100 km of a coastline.,2,2026-08-25T15:54:12+00:00
FT-0099,"The US has at least nine towns named Rome, several Parises, Athenses and Moscows — 19th-century settlers named frontier towns after the great cities they hoped to rival.",1,2026-08-08T07:08:46+00:00
FT-0100,"The Andes are the longest mountain range on land: ~7,000 km through 7 countries.",1,2026-07-11T12:01:01+00:00
FT-0101,"Damascus and Jericho both claim to be the oldest continuously inhabited city on Earth — each with evidence stretching back roughly 10,000 years.",1,2026-07-20T22:09:41+00:00
FT-0102,The Sahara isn't the biggest desert on Earth — both Antarctica and the Arctic are larger. It's just the biggest HOT one.,2,2026-08-24T20:42:19+00:00
FT-0103,"Cleopatra lived closer in time to the Moon landing than to the building of the Great Pyramid — the pyramid was already ~2,500 years old when she was born.",1,2026-07-11T08:56:20+00:00
FT-0104,Harvard was founded before calculus existed. The university opened in 1636; Newton and Leibniz published calculus decades later.,1,2026-07-06T20:10:34+00:00
FT-0105,Nintendo was founded in 1889 — while the Ottoman Empire still ruled the Middle East and the Eiffel Tower was brand new. It made playing cards.,1,2026-07-25T22:07:45+00:00
FT-0106,"The fax machine was patented in 1843 — 33 years before the telephone, while wagon trains were still crossing the Oregon Trail.",1,2026-07-26T16:11:27+00:00
FT-0107,The London Underground opened in 1863 — before Germany or Italy existed as unified countries.,1,2026-07-20T16:41:32+00:00
FT-0108,"The United States paid its last Civil War pension in 2020 — Irene Triplett, daughter of a Confederate-turned-Union soldier, collected $73.13 a month until she died.",1,2026-07-20T00:06:32+00:00
FT-0109,"President John Tyler was born in 1790, when George Washington was president. Astonishingly, one of his grandsons was still alive in the 2020s — two generations spanning 230+ years.",2,2026-08-24T21:38:22+00:00
FT-0110,"Anne Frank, Martin Luther King Jr. and Audrey Hepburn were all born in the same year: 1929.",2,2026-08-26T09:52:25+00:00
FT-0111,The Hundred Years' War actually lasted 116 years (1337-1453). The name stuck anyway.,1,2026-07-09T08:37:21+00:00
FT-0112,"The Netherlands and the Isles of Scilly were technically at war for 335 years (1651-1986) without a single shot fired. Peace was finally signed in 1986, mostly for fun.",1,2026-07-19T04:29:33+00:00
FT-0113,"Rome and Carthage formally ended the Third Punic War in 1985 — when the mayors of the two cities signed a symbolic peace treaty, 2,131 years after the fighting stopped.",1,2026-08-19T08:50:14+00:00
FT-0114,Genetic studies suggest roughly 1 in 200 men alive today may descend from Genghis Khan's male line — an estimated 16 million descendants.,1,2026-07-21T12:42:13+00:00
FT-0115,"The Great Fire of London in 1666 destroyed ~13,000 houses and 87 churches — yet the official recorded death toll was in single digits. Historians suspect many deaths simply went unrecorded.",1,2026-07-23T00:10:28+00:00
FT-0116,"The oldest known customer complaint is ~3,770 years old: a Babylonian tablet from one Nanni, furious at the merchant Ea-nasir over substandard copper.",1,2026-08-08T08:54:26+00:00
FT-0117,"Göbekli Tepe in Turkey is roughly 6,000 years older than Stonehenge — monumental architecture built by people who hadn't yet invented pottery or farming.",1,2026-08-17T14:37:58+00:00
FT-0118,Ancient Romans were already tourists at the pyramids — graffiti from Roman visitors survives inside them.,1,2026-07-17T14:50:42+00:00
FT-0119,The Roman Empire (in the East) fell just 39 years before Columbus sailed. Constantinople fell in 1453; the Americas were reached in 1492.,1,2026-08-03T15:11:08+00:00
FT-0120,"Napoleon wasn't short. At ~1.68 m (5'7"") he was average or above for a Frenchman of his era — the myth came from British propaganda and French inches.",1,2026-07-20T20:38:35+00:00
FT-0121,The Eiffel Tower was supposed to be demolished after 20 years — it was saved because it made a good radio antenna.,1,2026-08-21T18:51:03+00:00
FT-0122,The Eiffel Tower grows roughly 15 cm taller on hot summer days as the iron expands.,1,2026-07-18T12:00:50+00:00
FT-0123,The Statue of Liberty operated as an official lighthouse from 1886 to 1902.,1,2026-07-12T04:32:24+00:00
FT-0124,"'Big Ben' is the bell, not the tower. The tower is officially the Elizabeth Tower.",1,2026-08-05T03:26:22+00:00
FT-0125,The Leaning Tower of Pisa took about 200 years to finish — and it was already leaning before builders reached the top. They built the upper floors at an angle to compensate.,1,2026-08-15T03:49:10+00:00
FT-0126,"Ancient sources claim the Colosseum was flooded for staged naval battles — full-size ships, in the middle of Rome.",1,2026-07-11T22:01:41+00:00
FT-0127,Vikings reached North America around the year 1000 — nearly five centuries before Columbus. The site at L'Anse aux Meadows in Newfoundland is a UNESCO site.,1,2026-07-20T08:15:04+00:00
FT-0128,"Iceland's parliament, the Althing, first met in 930 AD — making it arguably the oldest surviving parliament on Earth.",1,2026-08-04T18:00:20+00:00
FT-0129,"San Marino, founded (by tradition) in 301 AD, claims to be the world's oldest republic — and it made Abraham Lincoln an honorary citizen in 1861. He wrote back thanking them.",1,2026-07-25T00:12:22+00:00
FT-0130,"At the 1936 Olympics, Liechtenstein and Haiti discovered they had identical flags. Liechtenstein added a crown the next year.",1,2026-07-24T18:40:12+00:00
FT-0131,"In 2007, ~170 Swiss soldiers accidentally invaded Liechtenstein after getting lost in the dark. Liechtenstein, which has no army, didn't notice.",1,2026-07-07T20:55:55+00:00
FT-0132,Lady Jane Grey ruled England for just nine days in 1553 — probably the shortest confirmed reign in the country's history.,2,2026-08-26T07:55:33+00:00
FT-0133,"In September 1914, the French army rushed ~5,000 soldiers to the Battle of the Marne in commandeered Paris taxis.",1,2026-07-22T22:13:33+00:00
FT-0134,"On Christmas 1914, German and British soldiers climbed out of the trenches, exchanged gifts, sang carols and played football in no-man's-land. Commanders made sure it never happened again.",1,2026-07-27T08:41:53+00:00
FT-0135,"Kongō Gumi, a Japanese temple-building firm founded in 578 AD, operated independently for over 1,400 years — the oldest company in recorded history.",1,2026-07-12T00:08:32+00:00
FT-0136,"For over 200 years (1639-1853), Japan sealed itself off almost completely — foreign trade limited mostly to one small artificial island in Nagasaki harbor.",1,2026-07-16T20:08:47+00:00
FT-0137,The Great Wall of China is NOT visible from the Moon — and astronauts report it's barely visible even from low orbit.,1,2026-07-31T18:41:36+00:00
FT-0138,"The Terracotta Army guarding Qin Shi Huang's tomb has ~8,000 soldiers — and no two faces are alike.",2,2026-08-24T09:58:02+00:00
FT-0139,"The Library of Alexandria wasn't destroyed in one great fire — it declined over centuries of budget cuts, purges and neglect. The boring version is the true one.",1,2026-07-26T00:08:47+00:00
FT-0140,The Aztec Empire was younger than Oxford University — it lasted less than a century (1428-1521) before Cortés arrived.,1,2026-07-10T12:07:30+00:00
FT-0141,Machu Picchu was built around 1450 and abandoned only ~100 years later. The Spanish never found it — which is why it survived.,2,2026-08-23T19:29:55+00:00
FT-0142,"Timbuktu's families and libraries preserved an estimated 350,000+ medieval manuscripts — proof of a golden age of African scholarship centered on a city Europeans dismissed as legend.",1,2026-07-19T00:05:54+00:00
FT-0143,Ethiopia is the only African country never colonized by a European power — Italy occupied it for just 5 years (1936-41) and never subdued it.,1,2026-08-20T13:05:58+00:00
FT-0144,Haiti became the first Black republic in 1804 after the only successful slave revolution in history — then France forced it to pay 'compensation' to former slaveholders until 1947.,2,2026-08-23T17:29:53+00:00
FT-0145,The US bought the Virgin Islands from Denmark in 1917 for $25 million in gold.,1,2026-08-12T23:53:27+00:00
FT-0146,"Sweden's Vasa warship sank in 1628, twenty minutes into its maiden voyage, in full view of the crowd. Raised in 1961, it's now the world's best-preserved 17th-century ship.",1,2026-08-20T20:39:21+00:00
FT-0147,"The Antikythera mechanism, recovered from a Greek shipwreck, is a ~2,100-year-old geared device that predicted eclipses and planetary positions — an ancient analog computer.",1,2026-08-11T11:52:36+00:00
FT-0148,"Passenger flight has gotten slower: Concorde crossed New York-London in under 3.5 hours. It retired in 2003, and nothing has replaced it.",1,2026-08-18T13:53:32+00:00
FT-0149,The Apollo 11 guidance computer had less processing power than a modern washing machine. It still navigated to the Moon and back.,1,2026-08-20T05:40:09+00:00
FT-0150,The Soviet Union lost roughly 27 million people in WW2 — about 1 in 7 of its entire population.,1,2026-07-11T06:23:24+00:00
FT-0151,"The Zimmermann Telegram — Germany secretly offering Mexico the return of Texas, New Mexico and Arizona — was intercepted by the British and helped push the US into WWI in 1917.",1,2026-08-09T22:43:35+00:00
FT-0152,"In 1943, British intelligence dressed a corpse as a Royal Marines officer, gave it fake invasion plans, and floated it to a Spanish beach. Hitler moved divisions to Greece; the Allies landed in Sicily.",1,2026-07-22T18:18:00+00:00
FT-0153,"The US 'Ghost Army' of WW2 was ~1,100 artists and engineers with inflatable tanks and sound trucks — they impersonated entire divisions and fooled German intelligence repeatedly.",1,2026-07-07T18:11:24+00:00
FT-0154,"Witold Pilecki volunteered to be imprisoned in Auschwitz. He spent 2.5 years inside organizing resistance and smuggling out the first reports of the Holocaust, then escaped.",1,2026-08-21T14:47:46+00:00
FT-0155,Japanese officer Hiroo Onoda kept fighting WW2 in the Philippine jungle until 1974 — 29 years after the surrender. He gave up only when his long-retired former commander flew out to order him home.,2,2026-08-24T08:59:17+00:00
FT-0156,"At the peak of the Berlin Airlift, an Allied supply plane landed in West Berlin roughly every 45 seconds — for over a year, an entire city of 2 million fed entirely by air.",1,2026-07-14T16:24:09+00:00
FT-0157,"The Code of Hammurabi (~1750 BC) is one of the oldest surviving law codes — nearly 300 laws carved in stone, including the original 'eye for an eye.'",1,2026-08-17T21:35:01+00:00
FT-0158,"Persia's Royal Road let royal messengers cover ~2,700 km in about a week — and Herodotus's praise of those couriers ('neither snow nor rain...') became the US Postal Service motto.",1,2026-07-30T18:39:51+00:00
FT-0159,Tsar Peter the Great taxed beards — Russian nobles had to carry a token proving they'd paid for the right to keep theirs.,1,2026-08-09T11:38:20+00:00
FT-0160,"Before 1917, Russia's calendar ran 13 days behind Western Europe — which is why the 'October Revolution' happened in November.",1,2026-07-30T09:36:45+00:00
FT-0161,Britain and its colonies skipped 11 days in 1752 when switching calendars: September 2 was followed directly by September 14.,1,2026-08-15T16:36:14+00:00
FT-0162,Legend has it Russia's shooting team missed the 1908 London Olympics by arriving 12 days late — the empire still ran on the old Julian calendar.,1,2026-07-17T22:02:41+00:00
FT-0163,The guillotine was proposed as a humanitarian reform — Dr. Guillotin wanted executions to be equal and painless. He didn't invent it and hated that it bore his name.,1,2026-08-02T04:32:14+00:00
FT-0164,"When Genghis Khan died in 1227, the escort reportedly killed everyone it met on the way to his burial — and his grave has never been found to this day.",1,2026-07-17T04:17:31+00:00
FT-0165,The Byzantine Empire never called itself 'Byzantine' — its citizens called themselves Romans right up to 1453. The name was invented by historians a century after it fell.,1,2026-07-16T06:28:04+00:00
FT-0166,"Spain's Council of the Indies governed an empire on which the sun literally never set — Philip II ruled territory in Europe, the Americas, Africa and Asia by the 1580s, three centuries before the British claimed the phrase.",1,2026-07-24T14:06:00+00:00
FT-0167,The world's first paper money appeared in Song-dynasty China around the 11th century — Marco Polo's reports of it were dismissed in Europe as fantasy.,1,2026-08-20T09:46:05+00:00
FT-0168,"Venice's Republic lasted 1,100 years (697-1797) — longer than the Roman Republic and the Roman Empire in the West combined.",1,2026-07-10T08:34:55+00:00
FT-0169,"The Pony Express, icon of the American West, operated for just 18 months before the telegraph killed it.",1,2026-07-16T22:12:32+00:00
FT-0170,Ancient Egyptian workers on royal tombs staged the first recorded labor strike in history (~1157 BC) — they downed tools when grain rations ran late.,1,2026-08-19T15:40:33+00:00
FT-0171,"Roman gladiators rarely fought to the death — they were expensive investments, and sweat scraped from their skin was sold as a cosmetic.",1,2026-07-28T12:06:21+00:00
FT-0172,"Charlemagne, crowned in 800, is a documented ancestor of essentially every living person with European ancestry — genealogy's math makes it nearly unavoidable.",1,2026-07-23T12:46:00+00:00
FT-0173,"Ukraine now spends roughly 40% of its GDP on defense, per Our World in Data (SIPRI) — a war burden no other country today comes close to matching.",1,2026-08-07T11:54:07+00:00
FT-0174,"The world's biggest meat eaters per person aren't Americans: Tonga tops the map at roughly 157 kg per person per year, per Our World in Data.",1,2026-08-15T01:45:38+00:00
FT-0175,"Romania drinks more than anywhere on Earth: about 16.8 litres of pure alcohol per person per year, per Our World in Data.",1,2026-08-08T13:07:19+00:00
FT-0176,"France receives roughly 100 million international tourists a year — more than its entire population, per Our World in Data.",1,2026-07-27T00:09:17+00:00
FT-0177,"In Norway, about 9 in 10 new cars sold are electric. In the US, it's roughly 1 in 10, per Our World in Data.",1,2026-08-22T16:35:22+00:00
FT-0178,"Half of Niger's population is younger than 15. Half of Japan's is older than 49. Two opposite demographic worlds, one planet, per Our World in Data.",1,2026-08-12T08:36:25+00:00
FT-0179,"Monaco packs about 19,000 people into every square kilometre. Mongolia has about 2, per Our World in Data.",1,2026-08-05T21:21:45+00:00
FT-0180,"The US spends about 17% of its GDP on healthcare — a larger share than any nation in recorded history, per Our World in Data.",1,2026-07-20T14:29:11+00:00
FT-0181,"Israel and South Korea invest roughly 5% of GDP in research and development — most countries manage under 1%, per Our World in Data.",2,2026-08-25T05:40:15+00:00
FT-0182,"Suriname is about 97% forest — the most forested country on Earth. Iceland: under 1%, per Our World in Data.",1,2026-07-22T06:39:30+00:00
FT-0183,"Cuba and much of Europe have 4+ doctors per 1,000 people. Parts of Africa have fewer than 0.1, per Our World in Data.",1,2026-08-08T15:39:02+00:00
FT-0184,"Japan and South Korea have 10+ hospital beds per 1,000 people — several times the level of the US or UK, per Our World in Data.",1,2026-07-10T00:15:18+00:00
FT-0185,"The US and El Salvador imprison more people per capita than anywhere else on Earth, per Our World in Data.",1,2026-07-25T04:20:25+00:00
FT-0186,"Extreme poverty (under $2.15/day) is now concentrated almost entirely in one region: Sub-Saharan Africa, per Our World in Data. In 1990, most of the world's poorest lived in Asia.",1,2026-07-31T04:32:28+00:00
FT-0187,"Global literacy has passed 87% — but in parts of the Sahel, fewer than half of adults can read, per Our World in Data.",1,2026-08-16T08:41:52+00:00
FT-0188,"Workers in Cambodia and Mexico log 2,200+ hours a year. Germans work about 1,300 — the equivalent of ~5 months less, per Our World in Data.",1,2026-07-24T22:14:38+00:00
FT-0189,"Half of Earth's habitable land is used for agriculture — and most of that feeds livestock, not people directly, per Our World in Data.",2,2026-08-25T09:47:02+00:00
FT-0190,"Iceland gets about 80% of its energy from low-carbon sources — the highest share of any country, per Our World in Data.",1,2026-08-23T01:55:37+00:00
FT-0191,"In 1950 the average woman worldwide had about 5 children. Today it's roughly 2.2 — the fastest reproductive shift in human history, per Our World in Data.",1,2026-07-09T22:41:02+00:00
FT-0192,"South Korea's fertility rate is about 0.7 births per woman. At that rate, 100 Koreans have ~33 children and ~11 grandchildren.",2,2026-08-24T01:53:11+00:00
FT-0193,"Most countries now have more mobile phone subscriptions than people, per Our World in Data.",1,2026-08-17T07:11:56+00:00
FT-0194,"Global life expectancy is now about 73 years. In 1900 it was roughly 32 — humanity has more than doubled its lifespan in five generations, per Our World in Data.",1,2026-08-17T08:55:16+00:00
FT-0195,"A century ago, about 1 in 4 children worldwide died before their fifth birthday. Today it's under 1 in 25 — still too many, but a 90% fall, per Our World in Data.",1,2026-07-18T22:01:21+00:00
