filename,title,caption,category,era,region,status,last_posted,times_posted,notes
(3) Instagram - Google Chrome 10_19_2025 2_14_28 PM.png,Flag Map of German Empire's States,"The German Empire was a patchwork of dozens of kingdoms, duchies and free cities, each with its own flag - here's every one of them.",Royal houses,19th century,Europe,active,2026-07-05T06:57:52+00:00,1,visible resolution/rendering issue on state borders; posted 2026-07-05 id 2073662627679793223
(3) Instagram - Google Chrome 10_19_2025 2_14_35 PM.png,First Bulgarian Empire (632-1018),Nearly 400 years old and ruled by 'Simeon the Great' - meet the first Bulgarian Empire before it fell to Byzantium.,Empires & borders,Medieval,Europe,active,2026-07-18T09:13:23+00:00,1,posted 2026-07-18 id 2078407776766758943
(3) Instagram - Google Chrome 10_19_2025 2_14_40 PM.png,Languages/Dialects of Italy,Italy has way more than just 'Italian' - a map of the dozens of regional languages and dialects still spoken today.,Demographics & language,Modern,Europe,active,2026-08-08T03:51:09+00:00,1,"strong thread candidate; posted 2026-08-08 id 2085936826267648178; top performer wk 2026-08-09 (6,447 imp)"
(3) Instagram - Google Chrome 10_19_2025 2_14_42 PM.png,Map of Germanic Y-DNA in Europe,Scandinavia lights up over 75% - here's how far Germanic Y-DNA actually spread across Europe.,Demographics & language,Various,Europe,active,2026-07-29T01:16:00+00:00,1,high-engagement debate topic; posted 2026-07-29 id 2082273903963938966
(3) Instagram - Google Chrome 10_19_2025 2_14_44 PM.png,Italian City States in 14th Century,"Florence, Venice, Milan and dozens more - Italy in the 1300s was a checkerboard of rival city-states, each with its own banner.",Empires & borders,Medieval,Europe,active,,0,strong thread candidate
(3) Instagram - Google Chrome 10_19_2025 2_14_49 PM.png,"Colonies in Tianjin, China (1860-1947)","Eight foreign powers, one Chinese city - Tianjin was carved into concessions by Japan, Britain, France, Germany and more.",Empires & borders,19th century,Asia,active,2026-08-01T23:28:21+00:00,1,posted 2026-08-01 id 2083696363317895262
(3) Instagram - Google Chrome 10_19_2025 2_14_54 PM.png,Map of Slavic Y-DNA in Europe,From under 1% in Western Europe to over 70% further east - tracing Slavic ancestry across the continent.,Demographics & language,Various,Europe,active,2026-08-17T10:56:45+00:00,1,high-engagement debate topic; posted 2026-08-17 id 2089305425946558811
(3) Instagram - Google Chrome 10_19_2025 2_14_57 PM.png,Most Spoken Native American Languages by State in the USA,"Cherokee dominates the South, Navajo rules the Southwest - the surprising native language map of the United States.",Demographics & language,Various,North America,active,2026-08-12T23:10:04+00:00,1,strong thread candidate; posted 2026-08-12 id 2087678030277677430
(3) Instagram - Google Chrome 10_19_2025 2_15_01 PM.png,Dialects of the Hungarian Language,Hungarian has dialects far beyond Hungary's borders — from the Palóc hills to the Csángó villages of Moldova 🇭🇺,Demographics & language,Modern,Europe,active,2026-07-24T17:17:50+00:00,1,posted 2026-07-24 id 2080704020071776424
(3) Instagram - Google Chrome 10_19_2025 2_15_15 PM.png,Morgenthau Plan to Divide Germany After WW2,The US actually had a plan to split Germany into farmland states with no heavy industry - here's what almost happened.,Wars & conflicts,WWII,Europe,active,2026-07-30T10:37:42+00:00,1,posted 2026-07-30 id 2082777647118168483
(3) Instagram - Google Chrome 10_19_2025 2_15_19 PM.png,Separatist Movements in Spain,From Catalonia to Galicia - a map of every region in Spain with a serious separatist movement.,Empires & borders,Modern,Europe,active,,0,high-engagement debate topic
(3) Instagram - Google Chrome 10_19_2025 2_15_23 PM.png,Languages/Dialects of France,"Forget just 'French' - France is home to dozens of regional languages, from Breton to Occitan to Corsican.",Demographics & language,Modern,Europe,active,,0,strong thread candidate
(3) Instagram - Google Chrome 10_19_2025 2_15_34 PM.png,Languages of Belgium,"One country, three official languages - here's exactly where Dutch, French and German are spoken in Belgium.",Demographics & language,Modern,Europe,active,2026-08-16T07:08:28+00:00,1,posted 2026-08-16 id 2088885585901449531
(3) Instagram - Google Chrome 10_19_2025 2_15_38 PM.png,Distribution of Haplogroup I2a2 (Y-DNA) in Europe (pre-Celto-Germanic),This DNA marker predates the Celts and Germans entirely - see where this ancient European lineage survives today.,Demographics & language,Various,Europe,active,,0,high-engagement debate topic
(3) Instagram - Google Chrome 10_19_2025 2_15_43 PM.png,"Treaty of Trianon, if it Happened to US",Imagine the US losing two-thirds of its land overnight - that's exactly what Trianon did to Hungary after WWI.,Wars & conflicts,1910s,North America,active,2026-08-08T19:07:37+00:00,1,"hypothetical/comparison map, strong thread candidate; posted 2026-08-08 id 2086167466263351565"
(3) Instagram - Google Chrome 10_19_2025 2_15_50 PM.png,Division of Switzerland Proposed by Muammar Al-Gaddafi at G8 Summit 2009,"Gaddafi once proposed carving up Switzerland between France, Germany and Italy - here's the map he pitched.",Oddities & superlatives,Modern,Europe,active,2026-08-03T04:05:34+00:00,1,posted 2026-08-03 id 2084128518305460697
(3) Instagram - Google Chrome 10_19_2025 2_15_55 PM.png,Top Leaders with Most Assassination Attempts,638 attempts on one man's life - see which leaders survived the most assassination attempts in history.,Oddities & superlatives,Various,World,active,,0,part of leaders series
(3) Instagram - Google Chrome 10_19_2025 2_15_58 PM.png,Napoleon's Empire in 1812,"At its peak, Napoleon's France and its satellites stretched from Spain to Poland - see the empire right before it collapsed.",Empires & borders,Early modern,Europe,active,2026-08-13T23:11:33+00:00,1,strong thread candidate; posted 2026-08-13 id 2088040792107720733
(3) Instagram - Google Chrome 10_19_2025 2_16_01 PM.png,France Occupied by Axis Powers (1940-1944),France wasn't just occupied by Germany - Italy had its own zone too. Here's the full wartime map.,Wars & conflicts,WWII,Europe,active,2026-07-18T16:40:27+00:00,1,posted 2026-07-18 id 2078520281618935808
(3) Instagram - Google Chrome 10_19_2025 2_16_04 PM.png,US Presidents With Highest Estimated IQ,"The highest-IQ US presidents according to estimates. John Adams: 173. Disclaimer: historical IQ estimates, take with salt 🧂",Oddities & superlatives,Various,North America,active,2026-07-31T21:37:33+00:00,1,posted 2026-07-31 id 2083306094886334908
(3) Instagram - Google Chrome 10_19_2025 2_16_18 PM.png,"Trianon, if it Happened to UK","Picture the UK losing Scotland, Wales and Northern Ireland in one treaty - that's the scale of Hungary's post-WWI loss.",Wars & conflicts,1910s,Europe,active,,0,"hypothetical/comparison map, pair with US version"
(3) Instagram - Google Chrome 10_19_2025 2_17_11 PM.png,Flags with Purple,Purple dye was once so rare only royalty could afford it - here are all the flags brave enough to use it.,Oddities & superlatives,Various,World,active,2026-07-16T01:14:37+00:00,1,"not a map, flag grid infographic; posted 2026-07-16 id 2077562515236507872"
(3) Instagram - Google Chrome 10_19_2025 2_17_14 PM.png,Allied Occupation of Germany (1945-1949),"Four powers, four zones, one divided Berlin - the map that set the stage for the Cold War.",Wars & conflicts,Cold War,Europe,active,2026-08-16T22:46:04+00:00,1,posted 2026-08-16 id 2089121540818317493
(3) Instagram - Google Chrome 10_19_2025 2_17_16 PM.png,Top Leaders with the Most Killed People,From 5 million to as high as 78 million - the death tolls attributed to history's deadliest rulers.,Oddities & superlatives,Various,World,active,2026-08-08T07:28:32+00:00,1,high-engagement debate topic; posted 2026-08-08 id 2085991534877401410
(3) Instagram - Google Chrome 10_19_2025 2_17_18 PM.png,Iberia in 1200,"Before Spain and Portugal as we know them, Iberia was split between Christian kingdoms and the Almohad Caliphate.",Empires & borders,Medieval,Europe,active,2026-08-05T23:28:47+00:00,1,posted 2026-08-05 id 2085146027599053213
(3) Instagram - Google Chrome 10_19_2025 2_17_22 PM.png,North America in 1830,"North America in 1830: Mexico owned Texas and California, Britain held Canada, and Russia... owned Alaska 🇺🇸",Empires & borders,19th century,North America,active,2026-08-10T11:30:34+00:00,1,posted 2026-08-10 id 2086777217556562234
(3) Instagram - Google Chrome 10_19_2025 2_17_24 PM.png,Richest Leaders in the World,Two leaders tied at $200 billion each - see which heads of state amassed the biggest fortunes in power.,Oddities & superlatives,Modern,World,active,,0,high-engagement debate topic
(3) Instagram - Google Chrome 10_19_2025 2_17_26 PM.png,Singapore 1984 vs 2018,Look how much land Singapore reclaimed from the sea in just 34 years - a satellite comparison that says it all.,Oddities & superlatives,Modern,Asia,active,2026-08-15T22:46:31+00:00,1,"satellite imagery, not a drawn map; posted 2026-08-15 id 2088759268463771878"
(3) Instagram - Google Chrome 10_19_2025 2_17_28 PM.png,Allies' Plan to Partition Japan After WWII,The Allies almost split Japan the way they split Germany - here's the forgotten postwar partition plan.,Wars & conflicts,WWII,Asia,active,2026-07-02T01:22:19+00:00,1,posted 2026-07-02 id 2072491021326245990; top performer wk 2026-07-02 (27 imp)
(3) Instagram - Google Chrome 10_19_2025 2_17_30 PM.png,Longest Serving Leaders,52 years in power - see the leaders who held on to power longer than almost anyone else in modern history.,Oddities & superlatives,Various,World,active,2026-08-10T23:05:50+00:00,1,part of leaders series; posted 2026-08-10 id 2086952188757135409
(3) Instagram - Google Chrome 10_19_2025 2_17_32 PM.png,Partition Plan of Germany Proposed by Roosevelt,"Roosevelt once floated splitting Germany into Hannover, Prussia, Saxony, Hesse, Bavaria and Austria - here's the map.",Wars & conflicts,WWII,Europe,active,2026-08-13T15:30:41+00:00,1,posted 2026-08-13 id 2087924808856310074
(3) Instagram - Google Chrome 10_19_2025 2_17_35 PM.png,Balkans Before First Balkan War,Right before the Ottomans got pushed out of Europe for good - this is what the Balkans looked like.,Wars & conflicts,19th century,Europe,active,2026-08-01T21:24:42+00:00,1,posted 2026-08-01 id 2083665247089426867
(3) Instagram - Google Chrome 10_19_2025 2_17_37 PM.png,Top Leaders With Most Assassination Attempts Part 2,Tito survived 22 known assassination attempts - round two of history's most-targeted leaders.,Oddities & superlatives,Various,World,active,2026-08-05T11:00:09+00:00,1,"part of leaders series, sequel to earlier post; posted 2026-08-05 id 2084957625892954459"
(3) Instagram - Google Chrome 10_19_2025 2_17_39 PM.png,Allied-Occupied Austria (1945-1955),"Like Germany, Austria was also carved into four occupation zones after WWII - here's the map most people forget.",Wars & conflicts,Cold War,Europe,active,2026-08-11T15:28:53+00:00,1,posted 2026-08-11 id 2087199580274438159
(3) Instagram - Google Chrome 10_19_2025 2_17_42 PM.png,Autonomous Regions of China,"Tibet, Xinjiang, Inner Mongolia and more - a map of China's officially autonomous regions.",Empires & borders,Modern,Asia,active,,0,high-engagement debate topic
(3) Instagram - Google Chrome 10_19_2025 2_17_45 PM.png,Most Corrupt Leaders by Amount Embezzled,One leader may have embezzled up to $35 billion - see the rulers accused of stealing the most from their own countries.,Oddities & superlatives,Modern,World,active,2026-08-16T03:26:42+00:00,1,high-engagement debate topic; posted 2026-08-16 id 2088829777897484466
(3) Instagram - Google Chrome 10_19_2025 2_17_54 PM.png,Korean War (1950-1953),The front line swung across the entire peninsula four times before settling near where it started - map the whole war in four snapshots.,Wars & conflicts,Cold War,Asia,active,2026-08-15T10:47:55+00:00,1,strong thread candidate; posted 2026-08-15 id 2088578425980395548
(3) Instagram - Google Chrome 10_19_2025 2_18_16 PM.png,How Many Languages Did Historical Leaders Speak?,"Tito, Napoleon, Ataturk and a Bulgarian king walk into a bar - and between them they spoke half a dozen languages fluently.",Royal houses,Various,World,active,2026-07-22T20:51:13+00:00,1,"part of leaders-languages series, pair with similar post; posted 2026-07-22 id 2080032944090153078"
(3) Instagram - Google Chrome 10_19_2025 2_18_27 PM.png,German Occupied Europe in 1942,"At its height, Nazi Germany controlled or dominated nearly all of continental Europe - see the full map of occupation, allies and neutrals.",Wars & conflicts,WWII,Europe,active,,0,strong thread candidate
(3) Instagram - Google Chrome 10_19_2025 2_18_32 PM.png,Concentration of Slaves in the US,From scattered pockets in 1790 to a solid band across the Deep South by 1860 - the map of slavery's growth in 70 years.,Demographics & language,19th century,North America,active,2026-08-12T13:56:02+00:00,1,high-engagement debate topic; posted 2026-08-12 id 2087538601550844051
(3) Instagram - Google Chrome 10_19_2025 2_18_36 PM.png,Languages Spoken by Historical Figures,Stalin spoke 4 languages. Churchill barely managed 2. And one pope spoke... 12? 🗣️,Oddities & superlatives,20th century,World,active,2026-07-22T13:13:53+00:00,1,posted 2026-07-22 id 2079917850458730909
(3) Instagram - Google Chrome 10_19_2025 2_18_39 PM.png,Spanish Civil War Every Year,Watch the front lines collapse year by year as the Nationalists swallow up Republican Spain.,Wars & conflicts,Interwar,Europe,active,2026-08-18T09:02:49+00:00,1,strong thread candidate; posted 2026-08-18 id 2089639139155095628
(3) Instagram - Google Chrome 10_19_2025 2_18_45 PM.png,What Languages Did Historical Leaders Speak?,"Mehmed the Conqueror, Queen Victoria and Mussolini all spoke multiple languages fluently - see who spoke what.",Royal houses,Various,World,active,2026-07-28T20:54:39+00:00,1,"part of leaders-languages series, pair with similar post; posted 2026-07-28 id 2082208134425158124"
(3) Instagram - Google Chrome 10_19_2025 2_18_48 PM.png,Chinese Civil War: Every Year (1947-1950),"In just three years, the Communists flipped nearly the entire map of China from Nationalist blue to red.",Wars & conflicts,Interwar,Asia,active,,0,strong thread candidate
(3) Instagram - Google Chrome 10_19_2025 2_19_14 PM.png,What Languages did Historical Figures speak?,"These four titans of history never spoke a word of English to each other's era — yet they all reached for one common tongue. Guess which language unites Catherine, Henry VIII, Newton and Einstein.",Demographics & language,Various,Europe,active,2026-07-31T18:03:14+00:00,1,part of a language-flags series; posted 2026-07-31 id 2083252156644401476
(3) Instagram - Google Chrome 10_19_2025 2_19_17 PM.png,English Civil War: Every Year (1641-1651),Watch Royalist red bleed across England year by year as Charles I's kingdom tears itself apart. The Civil War map you never saw in school 🔴,Wars & conflicts,Early modern,Europe,active,2026-07-27T10:58:52+00:00,1,posted 2026-07-27 id 2081695812933894146
(3) Instagram - Google Chrome 10_19_2025 2_19_35 PM.png,Germany's Future (1917 pamphlet),A real German pamphlet from 1917 imagined a Europe utterly reshaped by a Kaiser's victory — here's the map they never got to draw for real.,Empires & borders,WWI,Europe,active,2026-07-26T09:48:21+00:00,1,"alternate-history propaganda map, strong hook; posted 2026-07-26 id 2081315676065796475; top performer wk 2026-07-26 (3,889 imp)"
(3) Instagram - Google Chrome 10_19_2025 2_19_38 PM.png,What Languages did Leaders Figures speak?,"Elizabeth I, Lenin, Bismarck and John Adams shared more linguistic common ground than you'd think. Can you spot the language all four had in common?",Demographics & language,Various,Europe,active,,0,title has typo 'Leaders Figures' on graphic
(3) Instagram - Google Chrome 10_19_2025 2_19_40 PM.png,Italian Civil War: Every Year (1943-1945),"Mussolini's last stand, mapped month by month — watch the Italian Social Republic shrink as the Kingdom of Italy reclaims the peninsula.",Wars & conflicts,WWII,Europe,active,2026-07-26T06:26:46+00:00,1,posted 2026-07-26 id 2081264947380498779
(3) Instagram - Google Chrome 10_19_2025 2_19_44 PM.png,Tito's Plan for Greater Yugoslavia,Tito once dreamed of a South Slavic superstate stretching from Slovenia to Bulgaria — see the borders that almost redrew the Balkans.,Empires & borders,Cold War,Europe,active,2026-08-16T16:50:10+00:00,1,strong thread candidate; posted 2026-08-16 id 2089031977068278168
(3) Instagram - Google Chrome 10_19_2025 2_19_47 PM.png,What Languages did Historical Leaders speak?,"From Pedro II's Tupi to Franz Joseph's Latin, these four emperors' linguistic resumes are wilder than you'd expect 🔑",Demographics & language,19th century,World,active,2026-08-13T03:07:42+00:00,1,posted 2026-08-13 id 2087737832689598505
(3) Instagram - Google Chrome 10_19_2025 2_19_49 PM.png,French Invasion of Mexico: Every Year,Napoleon III tried to build an empire in Mexico — follow the red tide of French conquest rise and then completely collapse by 1867.,Wars & conflicts,19th century,North America,active,2026-07-29T06:21:51+00:00,1,posted 2026-07-29 id 2082350873934479546
(3) Instagram - Google Chrome 10_19_2025 2_19_52 PM.png,Axis Occupation of Yugoslavia (1941-1945),"One country, carved into seven pieces by four different occupiers — this is what Axis-occupied Yugoslavia actually looked like.",Wars & conflicts,WWII,Europe,active,,0,
(3) Instagram - Google Chrome 10_19_2025 2_19_54 PM.png,What Languages did Historical Leaders speak?,"Mezzofanti reportedly spoke dozens of languages, but even a tsar and a founding father make this multilingual lineup surprising.",Demographics & language,Various,World,active,2026-08-05T14:54:06+00:00,1,posted 2026-08-05 id 2085016501078401185
(3) Instagram - Google Chrome 10_19_2025 2_19_56 PM.png,Syrian Civil War (2011-present),"One of the most fractured conflicts of the 21st century, mapped from ISIS's peak to today's uneasy patchwork of control.",Wars & conflicts,Modern,Middle East,active,2026-07-05T16:50:52+00:00,1,"ongoing conflict, verify dates before posting; high-engagement debate topic; posted 2026-07-05 id 2073811860961316954"
(3) Instagram - Google Chrome 10_19_2025 2_19_58 PM.png,European Colonies in Africa (1880 vs. 1913),"In just 33 years, Europe went from barely touching Africa to owning almost all of it — the Scramble for Africa in two maps.",Empires & borders,19th century,Africa,active,2026-08-07T07:52:07+00:00,1,strong thread candidate; posted 2026-08-07 id 2085635081784144052
(3) Instagram - Google Chrome 10_19_2025 2_20_00 PM.png,What Languages did Historical Figures speak?,"Voltaire, Mozart, a Holy Roman Emperor and Teddy Roosevelt walk into a bar of flags — see what native tongues they all had in common.",Demographics & language,Various,Europe,active,,0,
(3) Instagram - Google Chrome 10_19_2025 2_20_02 PM.png,Russian Invasion of Crimea (2014),"In just three weeks in 2014, Crimea flipped from Ukrainian blue to Russian red — here's the map of how fast it happened.",Wars & conflicts,Modern,Europe,active,,0,high-engagement debate topic
(3) Instagram - Google Chrome 10_19_2025 2_20_05 PM.png,Europe After Napoleonic Wars (1816),"After two decades of Napoleon reshaping the map, Europe's post-war borders in 1816 looked nothing like they did in 1789.",Empires & borders,19th century,Europe,active,2026-08-14T17:27:45+00:00,1,posted 2026-08-14 id 2088316659899478338
(3) Instagram - Google Chrome 10_19_2025 2_20_08 PM.png,What Languages did Historical Leaders speak?,"Otto von Habsburg, James Madison, Maria Theresa and William III — four leaders, four eras, one surprisingly shared tongue.",Demographics & language,Various,Europe,active,2026-07-06T21:17:08+00:00,1,posted 2026-07-06 id 2074241256511725607
(3) Instagram - Google Chrome 10_19_2025 2_20_10 PM.png,Dialects of Italy,"Italy wasn't one language until surprisingly recently — this map of Tuscan, Sicilian, Venetian and more shows just how fractured it really was.",Demographics & language,Various,Europe,active,,0,strong thread candidate
(3) Instagram - Google Chrome 10_19_2025 2_20_13 PM.png,Territorial Expansion of the USA,From 13 colonies in 1776 to Alaska in 1867 — watch the United States nearly quadruple in size in under a century.,Empires & borders,19th century,North America,active,2026-08-16T04:59:59+00:00,1,posted 2026-08-16 id 2088853254071341427
(3) Instagram - Google Chrome 10_19_2025 2_20_16 PM.png,What Languages did some German Historical Figures speak?,"Bismarck, Frederick the Great, Marx and Einstein — four of Germany's biggest names, and the languages that shaped them.",Demographics & language,Various,Europe,active,2026-07-08T06:19:31+00:00,1,posted 2026-07-08 id 2074740142724755771
(3) Instagram - Google Chrome 10_19_2025 2_20_47 PM.png,Franco-Prussian War (1870-1871),"In under a year, Prussia went from a border skirmish to swallowing a third of France — watch the red spread month by month.",Wars & conflicts,19th century,Europe,active,2026-08-06T07:15:22+00:00,1,posted 2026-08-06 id 2085263443146244309
(3) Instagram - Google Chrome 10_19_2025 2_20_50 PM.png,Europe During WW1 (1918),"Four empires still stood at the end of 1918 — within a year, every single one of them would be gone. Here's Europe on the eve of collapse.",Empires & borders,WWI,Europe,active,,0,
(3) Instagram - Google Chrome 10_19_2025 2_20_53 PM.png,What Languages did some British Historical Figures speak?,"Darwin, Queen Victoria, Newton and Henry VIII all called England home — but their linguistic roots go a lot further than English.",Demographics & language,Various,Europe,active,,0,
(3) Instagram - Google Chrome 10_19_2025 2_20_55 PM.png,Invasion of Poland (1939),"Poland was crushed from both sides in under five weeks — Germany from the west, the Soviets from the east. This is how fast it happened.",Wars & conflicts,WWII,Europe,active,,0,
(3) Instagram - Google Chrome 10_19_2025 2_21_01 PM.png,Treaty of Brest-Litovsk (1918),Russia surrendered a staggering chunk of its empire to end WWI on the Eastern Front — see just how much territory it gave up.,Wars & conflicts,WWI,Europe,active,2026-07-03T22:00:21+00:00,1,posted 2026-07-03 id 2073164970658038232
(3) Instagram - Google Chrome 10_19_2025 2_21_15 PM.png,Australian Indigenous Land (1788 to 2013),From total dispossession in 1965 to a slow reclaiming of land rights by 2013 — this map traces two centuries of Aboriginal land loss and recovery.,Demographics & language,Various,Asia,active,2026-08-09T13:30:21+00:00,1,sensitive topic - review; region tagged Asia should be Oceania; posted 2026-08-09 id 2086444978281283770
(3) Instagram - Google Chrome 10_19_2025 2_21_19 PM.png,Border Changes in History of Poland,"From Boleslaw the Brave in 1000 to the postwar borders of 1945, Poland's shape has shifted more than almost any country in Europe.",Empires & borders,Various,Europe,active,2026-08-10T19:29:42+00:00,1,strong thread candidate; posted 2026-08-10 id 2086897796356190362
(3) Instagram - Google Chrome 10_19_2025 2_21_23 PM.png,Invasion of France During WW2,"In just 17 days in June 1940, France went from free to nearly fully occupied — the fall of France, mapped week by week.",Wars & conflicts,WWII,Europe,active,2026-07-10T20:57:30+00:00,1,posted 2026-07-10 id 2075685867323056354
(3) Instagram - Google Chrome 10_19_2025 2_21_28 PM.png,Partition of Polish-Lithuanian Commonwealth,"Three empires carved up one of Europe's largest states in just 23 years, erasing Poland from the map entirely — here's how they split the spoils.",Empires & borders,Early modern,Europe,active,,0,
(3) Instagram - Google Chrome 10_19_2025 2_21_31 PM.png,Territorial Expansion of Germany (1939-1942),"At its peak in 1942, the Third Reich's shadow stretched from Norway to the Caucasus — this map shows just how far it got before it all fell apart.",Wars & conflicts,WWII,Europe,active,,0,
(3) Instagram - Google Chrome 10_19_2025 2_21_33 PM.png,Winter War (1939-1940),"Tiny Finland held off the Soviet giant for over three months — track the brutal, inch-by-inch fighting of the Winter War.",Wars & conflicts,WWII,Europe,active,2026-08-04T07:12:05+00:00,1,posted 2026-08-04 id 2084537844182487531
(3) Instagram - Google Chrome 10_19_2025 2_21_36 PM.png,Religion of Europe in 1600,"A century after the Reformation, Europe was a religious patchwork of Catholics, Lutherans, Calvinists and Orthodox — see how fractured faith had become.",Religion & culture,Early modern,Europe,active,2026-07-19T06:19:50+00:00,1,posted 2026-07-19 id 2078726488279433281
(3) Instagram - Google Chrome 10_19_2025 2_21_50 PM.png,Territorial Expansion of the Ottoman Empire (1300-1683),From a tiny Anatolian beylik in 1300 to the gates of Vienna by 1683 — nearly 400 years of Ottoman conquest in a single map.,Empires & borders,Medieval,Middle East,active,2026-07-15T20:46:07+00:00,1,strong thread candidate; posted 2026-07-15 id 2077494941803307125
(3) Instagram - Google Chrome 10_19_2025 2_22_00 PM.png,Liberation of France During WW2 (1944),From D-Day to nearly full liberation in six weeks — watch Allied blue swallow Nazi red across France in the summer of 1944.,Wars & conflicts,WWII,Europe,active,2026-07-08T01:17:12+00:00,1,posted 2026-07-08 id 2074664062802083910
(3) Instagram - Google Chrome 10_19_2025 2_22_05 PM.png,Spread of Christianity 325-600,"In under three centuries, Christianity went from a persecuted sect to the dominant faith of the entire Mediterranean world.",Religion & culture,Antiquity,Europe,active,2026-07-22T06:18:35+00:00,1,posted 2026-07-22 id 2079813337647313398
(3) Instagram - Google Chrome 10_19_2025 2_22_11 PM.png,"Treaty of Tordesillas, 1494",Two kingdoms drew a single line down the Atlantic and casually split the entire non-European world between them. That's the Treaty of Tordesillas.,Empires & borders,Early modern,World,active,,0,strong thread candidate
(3) Instagram - Google Chrome 10_19_2025 2_22_14 PM.png,Invasion of Yugoslavia During WW2 (1941),It took the Axis just eight days to crush the Kingdom of Yugoslavia — watch the country get swallowed in real time.,Wars & conflicts,WWII,Europe,active,2026-07-15T17:00:47+00:00,1,posted 2026-07-15 id 2077438238608986497
(3) Instagram - Google Chrome 10_19_2025 2_22_16 PM.png,Recognition of Israel and Palestine in 1952 vs. 2021,In 1952 almost no one recognized Israel outside the West — by 2021 the diplomatic map had flipped almost entirely. See the dramatic shift.,Empires & borders,Modern,Middle East,active,,0,high-engagement debate topic
(3) Instagram - Google Chrome 10_19_2025 2_22_18 PM.png,"Treaty of Paris, 1763 Before and After","One treaty, one war lost, and France's entire North American empire vanished overnight — this is the map that ended New France.",Empires & borders,Early modern,North America,active,,0,
(3) Instagram - Google Chrome 10_19_2025 2_22_21 PM.png,"Invasion of the Benelux, 1940","The Netherlands, Belgium and Luxembourg fell in under three weeks — this is how fast the Nazi war machine rolled through the Low Countries.",Wars & conflicts,WWII,Europe,active,,0,
